Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
0,4917000,2153,"(2022, 2, 28)",宫水毅,1571,69,封面呢？,3,Xinjiang Counter-terrorism,None
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,乳俄,9,Xinjiang Counter-terrorism,Media
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,啊？,9,Xinjiang Counter-terrorism,Famous Content Creator
4,2518000,24000,"(2021, 2, 19)",共青团中央,11416568,99,致敬,5,Xinjiang Counter-terrorism,Government
1,4664000,22000,"(2020, 7, 21)",秋田早上好,419089,129,致敬,10,Xinjiang Counter-terrorism,Famous Content Creator
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,河南 羊肉串68一斤 鲜肉,6,Xinjiang Counter-terrorism,None
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,我会三种朝鲜语东北话+东北普通话,5,Xinjiang Counter-terrorism,Government
1,4633000,13000,"(2024, 11, 16)",我是江无情,1980923,53,啊？,8,Xinjiang Counter-terrorism,Famous Content Creator
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,新疆有玫瑰馕 辣皮子馕,5,Xinjiang Counter-terrorism,None
0,1701000,2460,"(2023, 3, 25)",星晨大海纪,14733,87,有烟无伤定律,10,Xinjiang Counter-terrorism,None
5,99000,31,"(2020, 6, 20)",CGTN,877496,74,中国是不可以重婚的，除非是离婚再娶,3,Xinjiang Counter-terrorism,Media
4,637000,5722,"(2018, 9, 15)",共青团中央,11416570,41,战  术  直  播,8,Xinjiang Counter-terrorism,Government
0,746000,3964,"(2020, 10, 6)",大红矛,8458,70,致敬！,9,Xinjiang Counter-terrorism,None
0,230000,1450,"(2024, 8, 20)",长河飞烟,115046,106,大宋跟大明都是东北那边搞得事情,9,Xinjiang Counter-terrorism,None
1,2128000,5002,"(2024, 6, 28)",世界见闻录,1474622,133,伟大的中国人民解放军！,9,Xinjiang Counter-terrorism,Famous Content Creator
0,592000,772,"(2023, 2, 22)",矜暮闲聊,7494,116,这个是柬埔寨一个赌场,9,Xinjiang Counter-terrorism,None
7,2013000,6910,"(2020, 10, 9)",腔调制造,236229,110,阿拉伯和印度最密集,8,Xinjiang Counter-terrorism,High-Energy Streamer
9,376000,673,"(2024, 12, 15)",主持人肖雄,591802,163,治标不治本，像治本就要和人民群众搞好关系,10,Xinjiang Counter-terrorism,Public Figure
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,物理超度他们,8,Xinjiang Counter-terrorism,Government
1,2128000,5002,"(2024, 6, 28)",世界见闻录,1474622,133,这种地方比平原不少地方都发达...,7,Xinjiang Counter-terrorism,Famous Content Creator
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,印度家乡菜,9,Xinjiang Counter-terrorism,Famous Content Creator
5,4459000,34000,"(2019, 12, 18)",观察者网,7368392,44,1/3没了,10,Xinjiang Counter-terrorism,Media
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,差点把肉条看成内存,7,Xinjiang Counter-terrorism,None
0,114000,129,"(2024, 4, 4)",环球-揭秘,871,150,废话文学,6,Xinjiang Counter-terrorism,None
2,659000,1658,"(2024, 4, 19)",乌鸦校尉CaptainWuya,2926525,65,老美自产自销,8,Xinjiang Counter-terrorism,Influencer
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,杏干！,8,Xinjiang Counter-terrorism,None
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,致敬!,6,Xinjiang Counter-terrorism,Government
0,215000,1722,"(2024, 9, 12)",南京张小品,158942,170,左公千古,8,Xinjiang Counter-terrorism,None
5,518000,2741,"(2021, 11, 5)",人民日报,16202044,13,必须当场击毙,10,Xinjiang Counter-terrorism,Media
1,261000,868,"(2025, 3, 7)",欧肯视线,551148,158,你不能只在没饭吃战乱的时候支持巴沙尔,6,Xinjiang Counter-terrorism,Famous Content Creator
0,215000,1722,"(2024, 9, 12)",南京张小品,158942,170,左公千古,8,Xinjiang Counter-terrorism,None
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,美女疑惑,6,Xinjiang Counter-terrorism,Government
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,我们这里四块一个,8,Xinjiang Counter-terrorism,None
